run_accession	fastq_ftp
SRR6468654	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468654/SRR6468654.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468654/SRR6468654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468654/SRR6468654_2.fastq.gz
SRR6468658	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468658/SRR6468658.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468658/SRR6468658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468658/SRR6468658_2.fastq.gz
SRR6468659	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468659/SRR6468659.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468659/SRR6468659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468659/SRR6468659_2.fastq.gz
SRR6468663	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468663/SRR6468663.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468663/SRR6468663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468663/SRR6468663_2.fastq.gz
SRR6468665	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468665/SRR6468665.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468665/SRR6468665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468665/SRR6468665_2.fastq.gz
SRR6468666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468666/SRR6468666.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468666/SRR6468666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468666/SRR6468666_2.fastq.gz
SRR6468667	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468667/SRR6468667.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468667/SRR6468667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468667/SRR6468667_2.fastq.gz
SRR6468669	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468669/SRR6468669.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468669/SRR6468669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468669/SRR6468669_2.fastq.gz
SRR6468672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468672/SRR6468672.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468672/SRR6468672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468672/SRR6468672_2.fastq.gz
SRR6468673	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468673/SRR6468673.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468673/SRR6468673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468673/SRR6468673_2.fastq.gz
SRR6468683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468683/SRR6468683.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468683/SRR6468683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468683/SRR6468683_2.fastq.gz
SRR6468693	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468693/SRR6468693.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468693/SRR6468693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468693/SRR6468693_2.fastq.gz
SRR6468694	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468694/SRR6468694.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468694/SRR6468694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468694/SRR6468694_2.fastq.gz
SRR6468701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468701/SRR6468701.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468701/SRR6468701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468701/SRR6468701_2.fastq.gz
SRR6468711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468711/SRR6468711.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468711/SRR6468711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468711/SRR6468711_2.fastq.gz
SRR6468715	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468715/SRR6468715.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468715/SRR6468715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468715/SRR6468715_2.fastq.gz
SRR6468716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468716/SRR6468716.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468716/SRR6468716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468716/SRR6468716_2.fastq.gz
SRR6468717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468717/SRR6468717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468717/SRR6468717_2.fastq.gz
SRR6468500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468500/SRR6468500_2.fastq.gz
SRR6468501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468501/SRR6468501_2.fastq.gz
SRR6468503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468503/SRR6468503_2.fastq.gz
SRR6468508	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468508/SRR6468508_2.fastq.gz
SRR6468510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468510/SRR6468510_2.fastq.gz
SRR6468512	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468512/SRR6468512_2.fastq.gz
SRR6468513	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468513/SRR6468513_2.fastq.gz
